StockCode,Stock,LastUpdated
85123,5092,2025-05-11
71053,6983,2025-05-16
84406,11558,2025-05-06
84029,16673,2025-05-13
84029,15786,2025-05-17
22752,3536,2025-05-22
21730,8937,2025-05-03
22633,17054,2025-04-29
22632,6287,2025-05-08
84879,11210,2025-05-09
22745,18903,2025-05-07
22748,13074,2025-05-17
22749,11870,2025-05-27
22310,1770,2025-05-10
84969,12833,2025-05-14
22623,6972,2025-05-24
22622,393,2025-05-22
21754,3430,2025-05-15
21755,7102,2025-05-19
21777,6193,2025-05-16
48187,17138,2025-04-29
22960,5679,2025-05-27
22913,18716,2025-05-10
22912,16982,2025-05-25
22914,5587,2025-04-30
21756,5896,2025-05-22
22728,3455,2025-05-10
22727,8126,2025-05-21
22726,10143,2025-05-26
21724,16230,2025-05-21
21883,634,2025-05-17
10002,13297,2025-05-28
21791,12344,2025-05-05
21035,17658,2025-05-01
22326,12480,2025-05-26
22629,1763,2025-05-04
22659,19397,2025-04-29
22631,7160,2025-05-08
22661,14636,2025-05-03
21731,2277,2025-05-18
22900,17234,2025-05-18
21913,4960,2025-05-01
22540,14320,2025-05-27
22544,12950,2025-05-12
22492,9004,2025-05-07
POST,7326,2025-05-11
22086,7552,2025-05-19
20679,13439,2025-05-14
37370,19550,2025-05-24
21871,12992,2025-05-21
21071,10218,2025-05-11
21068,6303,2025-05-14
82483,1721,2025-05-16
82486,16277,2025-05-27
82482,1012,2025-05-13
82494,6188,2025-05-11
21258,15411,2025-04-29
22114,18900,2025-04-29
21733,8321,2025-05-04
22386,13693,2025-05-24
85099,5849,2025-05-13
21033,15838,2025-05-23
20723,7003,2025-05-14
84997,11480,2025-05-27
84997,4900,2025-05-03
21094,15499,2025-05-26
20725,7070,2025-05-09
21559,16861,2025-04-30
22352,1184,2025-05-13
21212,16086,2025-05-07
21975,16309,2025-05-07
21977,14388,2025-05-01
84991,1925,2025-05-22
84519,15784,2025-05-11
85183,2907,2025-05-13
85071,14117,2025-05-10
21931,10639,2025-05-03
21929,10050,2025-05-12
22961,16354,2025-05-13
22139,15920,2025-05-08
84854,10406,2025-05-12
22411,15506,2025-05-11
82567,9782,2025-05-14
21672,8514,2025-05-14
22774,15902,2025-05-28
22771,1070,2025-05-26
71270,5795,2025-05-15
22262,4707,2025-04-29
22637,4605,2025-05-22
21934,8021,2025-05-20
21169,16778,2025-05-13
21166,14129,2025-05-14
21175,13838,2025-05-07
37444,13121,2025-05-22
37444,6316,2025-05-02
22083,13235,2025-05-11
84971,15046,2025-05-15
47580,394,2025-05-13
22261,19872,2025-05-07
84832,3339,2025-05-02
22644,4508,2025-05-06
21533,15002,2025-05-06
21557,1084,2025-05-27
15056,7654,2025-04-29
15056,2990,2025-05-02
22646,10205,2025-04-30
22176,3272,2025-05-15
22438,9531,2025-05-14
22778,2605,2025-05-27
22719,8566,2025-05-23
21523,11183,2025-05-28
D,926,2025-05-16
21912,8520,2025-05-06
21832,2109,2025-05-22
22379,6232,2025-04-29
22381,16909,2025-05-16
22798,8950,2025-05-05
22926,15432,2025-04-29
22839,7974,2025-05-26
22838,2745,2025-05-05
22783,282,2025-05-03
35004,7978,2025-05-24
82484,10936,2025-05-25
84755,902,2025-05-03
22464,620,2025-05-03
21324,7587,2025-05-14
22457,11997,2025-05-17
22469,17272,2025-05-04
22470,13379,2025-05-25
22224,2066,2025-05-27
21340,14060,2025-05-11
22189,7322,2025-05-19
22427,14950,2025-05-18
22428,6626,2025-05-17
22424,6718,2025-05-23
22663,12845,2025-05-25
85049,9711,2025-04-29
22168,18432,2025-05-09
22662,9407,2025-05-22
84880,3392,2025-05-19
85099,732,2025-05-02
79321,18055,2025-05-12
22780,11701,2025-05-18
22779,3358,2025-05-13
22466,15401,2025-05-25
21363,3933,2025-05-24
21411,11387,2025-05-12
22318,11448,2025-05-18
22915,13344,2025-05-03
22922,17675,2025-05-08
22969,18976,2025-05-15
22923,6649,2025-05-13
21115,7002,2025-05-10
22242,16883,2025-05-28
22941,2477,2025-05-19
21622,1807,2025-05-03
35004,12904,2025-04-29
85014,2144,2025-05-21
85014,2212,2025-05-23
22193,9635,2025-05-04
22192,8482,2025-04-29
22191,1266,2025-05-18
22195,1033,2025-05-13
22196,18061,2025-05-10
22962,1006,2025-05-01
22963,9108,2025-04-29
22968,19844,2025-05-13
84970,15729,2025-05-08
22910,7457,2025-05-13
20668,9867,2025-05-19
22197,17824,2025-05-19
22198,13500,2025-05-16
21080,19571,2025-05-13
21086,7952,2025-05-21
21786,10191,2025-05-21
22654,12697,2025-05-11
21485,16939,2025-05-07
84030,5742,2025-05-03
22174,18231,2025-05-03
22556,9467,2025-05-21
21984,146,2025-05-06
21983,9050,2025-04-29
21980,14231,2025-05-05
21484,3396,2025-05-12
22557,3778,2025-05-02
22553,1428,2025-05-15
22150,9704,2025-05-22
22619,11254,2025-05-28
21891,2635,2025-05-08
21889,8611,2025-05-27
22827,13575,2025-05-13
22127,3081,2025-05-17
22128,16788,2025-05-03
22502,2177,2025-05-08
22338,13593,2025-05-26
22180,5090,2025-05-26
21506,15882,2025-05-26
22866,2167,2025-05-03
22865,10439,2025-05-21
22349,12494,2025-05-18
22558,15311,2025-05-27
85152,16101,2025-05-09
22652,10343,2025-05-10
22188,15859,2025-05-28
21314,18377,2025-05-14
22730,10064,2025-05-20
22729,15970,2025-05-14
22867,12303,2025-05-03
22803,12140,2025-05-12
35004,19029,2025-05-12
21844,19228,2025-05-12
22468,18174,2025-05-10
48185,12710,2025-05-11
21232,2333,2025-05-21
22064,410,2025-05-08
22449,3022,2025-05-10
22835,7984,2025-05-21
22112,15092,2025-05-13
21479,219,2025-05-17
22111,14711,2025-05-25
22110,2077,2025-05-26
22098,15461,2025-04-30
22100,5158,2025-05-23
22766,12364,2025-05-28
22451,5620,2025-05-04
22549,17727,2025-05-01
84744,7512,2025-05-24
85049,18748,2025-05-21
21328,9846,2025-05-10
17091,11568,2025-05-09
22473,8437,2025-05-07
84509,13828,2025-05-18
84510,419,2025-05-15
22767,18440,2025-05-11
22768,7963,2025-05-27
21463,8831,2025-05-02
21464,7377,2025-05-16
20820,5815,2025-05-21
85150,5481,2025-05-18
22117,14869,2025-05-17
48129,15657,2025-05-06
82580,17030,2025-05-10
82578,6754,2025-05-24
82581,1380,2025-05-18
22413,3060,2025-05-21
21907,4285,2025-05-17
22441,9883,2025-05-15
21122,2976,2025-05-20
22851,10134,2025-05-13
22810,10216,2025-05-24
22809,12233,2025-05-11
22435,8156,2025-05-02
20966,1543,2025-05-18
20963,12987,2025-05-27
20961,1817,2025-05-12
22068,3542,2025-05-18
21743,10250,2025-05-07
21744,8136,2025-05-09
84709,5644,2025-04-30
21592,16801,2025-05-17
21587,9941,2025-05-16
20992,14193,2025-05-10
22804,4737,2025-05-02
20749,16401,2025-05-18
22382,14408,2025-05-17
20726,14697,2025-05-13
22384,17773,2025-05-17
22467,8809,2025-05-28
84625,12883,2025-05-04
84625,2057,2025-05-06
21108,5743,2025-05-05
22848,2497,2025-05-10
47570,6575,2025-05-27
22837,12206,2025-05-21
22297,3732,2025-05-06
22772,6739,2025-05-12
22773,2206,2025-05-10
22805,14030,2025-05-26
21125,17091,2025-05-07
21126,3039,2025-05-06
85049,5630,2025-05-24
85049,14839,2025-04-30
85049,3142,2025-05-17
21061,19943,2025-05-24
21063,11755,2025-05-02
21062,19809,2025-05-18
84380,8667,2025-05-11
84378,2710,2025-04-30
22964,3431,2025-05-09
21213,1744,2025-05-28
22417,9595,2025-05-24
84992,13814,2025-05-17
22383,4031,2025-05-19
20728,5174,2025-05-26
20727,17418,2025-05-06
22296,10644,2025-05-27
20914,2642,2025-05-20
22537,7788,2025-05-20
22533,18584,2025-05-16
20982,13461,2025-04-30
21915,19365,2025-05-14
21914,4785,2025-05-06
21544,6821,2025-05-20
22813,15586,2025-05-13
84375,8414,2025-05-03
22418,10578,2025-05-27
22178,13307,2025-05-23
84970,771,2025-05-22
22465,8975,2025-05-17
84949,11003,2025-05-20
20685,11025,2025-04-30
48194,15156,2025-05-17
22488,18161,2025-05-22
22219,17252,2025-05-26
22610,19042,2025-05-16
22716,13132,2025-05-23
22706,8785,2025-05-22
22371,5391,2025-05-08
21210,6636,2025-05-07
16237,16421,2025-05-02
22714,7211,2025-04-29
22812,19881,2025-05-06
84347,10584,2025-05-13
22736,17030,2025-05-13
22620,16102,2025-05-04
21705,11533,2025-05-14
90199,15498,2025-05-25
22785,12163,2025-05-23
22975,3258,2025-05-09
22972,10044,2025-05-28
22568,1651,2025-05-14
85116,11557,2025-05-01
22664,1839,2025-05-20
21609,10537,2025-05-04
21866,16616,2025-04-30
20669,1337,2025-05-10
90129,11448,2025-05-11
90210,12564,2025-05-02
21955,12394,2025-05-25
72802,9891,2025-05-21
22109,18402,2025-05-26
22531,17598,2025-05-26
21811,15594,2025-05-20
22183,12142,2025-05-15
21678,12731,2025-05-06
21676,8031,2025-05-07
85169,15749,2025-05-25
16238,1913,2025-05-07
84906,16557,2025-05-18
21867,8446,2025-05-26
22075,10984,2025-05-14
21326,17464,2025-05-23
21065,15434,2025-05-02
22074,7438,2025-05-03
20713,10128,2025-05-01
21116,9070,2025-05-12
21824,12815,2025-05-01
21823,12690,2025-04-30
22153,242,2025-05-23
85099,17280,2025-04-30
20717,3462,2025-05-24
22328,4769,2025-05-15
22327,768,2025-05-05
22630,3261,2025-05-19
21245,15465,2025-05-02
21244,16536,2025-05-18
21242,4344,2025-05-18
21243,10698,2025-05-28
22273,15477,2025-05-14
22940,17571,2025-05-20
22759,17368,2025-04-30
21880,17922,2025-05-03
21738,13031,2025-05-28
22077,1959,2025-05-07
21448,16924,2025-05-11
22243,17734,2025-05-26
22141,15860,2025-05-19
22144,12195,2025-05-16
21739,17762,2025-05-21
22271,1657,2025-05-21
22274,18001,2025-05-11
22751,19730,2025-05-06
21034,10697,2025-05-03
22570,9129,2025-05-15
22569,12706,2025-05-16
22902,16154,2025-05-28
21710,1782,2025-05-25
21708,16326,2025-04-29
21711,13309,2025-05-16
22179,12058,2025-05-13
21706,8043,2025-05-07
85184,19699,2025-05-10
22988,1116,2025-05-06
20750,13942,2025-05-11
22952,17764,2025-05-27
22739,5951,2025-05-27
22738,1179,2025-05-24
22909,19973,2025-05-28
35591,12281,2025-05-08
22186,3183,2025-05-18
22695,4866,2025-05-24
22580,14358,2025-05-07
22147,15785,2025-05-27
22130,19074,2025-05-24
22694,14274,2025-05-23
21790,6566,2025-05-12
22149,16209,2025-05-26
22321,8001,2025-05-06
22594,8284,2025-04-30
22593,4501,2025-05-24
22595,9513,2025-05-09
21986,9837,2025-05-09
22750,9345,2025-05-23
22616,876,2025-05-10
22775,8683,2025-05-17
22899,13435,2025-05-25
22367,2002,2025-05-14
22942,6650,2025-05-06
21976,17216,2025-05-08
22951,1916,2025-05-20
22834,17379,2025-05-22
21916,16545,2025-05-15
22587,16949,2025-05-11
22566,14249,2025-05-08
22565,6221,2025-05-07
22472,232,2025-05-03
22551,14587,2025-05-28
22554,14862,2025-05-24
22534,3182,2025-05-06
22529,11079,2025-05-27
22530,16803,2025-05-17
84032,6312,2025-05-06
85049,2162,2025-05-25
22807,2343,2025-05-17
21494,12322,2025-05-15
22938,315,2025-05-07
21892,2598,2025-05-07
21890,13917,2025-05-28
21718,18081,2025-05-08
21716,12239,2025-05-26
21715,13948,2025-05-25
22113,16267,2025-05-24
22358,13066,2025-05-11
22357,16415,2025-05-25
22115,17725,2025-05-22
21481,5846,2025-05-21
22585,9719,2025-05-23
21556,1228,2025-05-18
22645,18356,2025-05-19
22650,7648,2025-05-06
22508,14446,2025-05-13
22511,10621,2025-05-27
22829,19700,2025-05-09
21154,14320,2025-05-21
17021,10409,2025-05-18
22059,4361,2025-05-13
84678,14688,2025-05-24
85172,12492,2025-05-16
22142,14127,2025-05-10
21591,13054,2025-05-19
22480,10013,2025-05-03
22294,17065,2025-05-07
21156,10257,2025-05-19
10133,19396,2025-05-27
72800,2516,2025-05-19
84836,19745,2025-05-28
20774,13617,2025-05-03
20773,9044,2025-05-17
20777,4703,2025-05-08
16016,3437,2025-05-12
16014,11212,2025-05-02
21651,2084,2025-05-09
22618,5474,2025-05-09
21586,10712,2025-05-15
22152,6740,2025-05-03
84754,9450,2025-05-01
22670,15668,2025-05-25
84849,12272,2025-05-19
22927,5554,2025-05-22
22925,13874,2025-04-30
21259,18137,2025-05-06
21257,17922,2025-05-12
21121,7996,2025-04-29
82552,16638,2025-05-24
90200,12602,2025-05-09
90059,18722,2025-05-13
90185,917,2025-05-26
90059,2458,2025-05-20
90059,13168,2025-04-30
90200,19947,2025-05-13
90200,13963,2025-05-19
90200,17768,2025-05-03
22737,18820,2025-05-25
21260,15416,2025-05-27
22744,16825,2025-05-12
21985,4018,2025-05-16
22295,8754,2025-05-07
16258,1089,2025-05-08
21992,9711,2025-05-23
21124,19607,2025-05-28
22735,5462,2025-05-09
22945,5016,2025-05-07
21816,7345,2025-05-27
21815,5467,2025-05-12
21814,4938,2025-05-10
10125,6560,2025-05-23
22573,18348,2025-05-16
22577,10089,2025-05-06
22603,8214,2025-05-21
20878,14795,2025-05-22
20866,19576,2025-05-23
85095,9122,2025-05-28
22333,3558,2025-05-07
21584,10978,2025-05-16
22731,10639,2025-04-29
22956,16937,2025-05-25
22582,17817,2025-05-13
85231,19619,2025-05-21
85231,2748,2025-05-17
22082,14612,2025-05-15
22500,4276,2025-05-05
22742,1812,2025-05-16
21329,13934,2025-05-11
21327,16394,2025-05-20
48173,4048,2025-05-12
72818,4664,2025-05-03
22312,6956,2025-05-16
21137,18654,2025-04-29
22041,17707,2025-05-04
20979,1589,2025-05-13
20977,16443,2025-05-13
22571,11915,2025-05-19
22423,561,2025-04-29
21621,19490,2025-05-26
47563,13413,2025-05-24
84558,1028,2025-05-09
21577,10069,2025-05-11
22087,3326,2025-04-29
22651,14802,2025-05-09
22713,5834,2025-05-01
21370,19402,2025-05-22
