StockCode,Stock,LastUpdated,Total_Sold,New_Stock
85123,5092,2025-05-11,0.0,5092.0
71053,6983,2025-05-16,0.0,6983.0
84406,11558,2025-05-06,0.0,11558.0
84029,16673,2025-05-13,0.0,16673.0
22752,3536,2025-05-22,0.0,3536.0
21730,8937,2025-05-03,0.0,8937.0
22633,17054,2025-04-29,0.0,17054.0
22632,6287,2025-05-08,0.0,6287.0
84879,11210,2025-05-09,0.0,11210.0
22745,18903,2025-05-07,0.0,18903.0
22748,13074,2025-05-17,0.0,13074.0
22749,11870,2025-05-27,0.0,11870.0
22310,1770,2025-05-10,0.0,1770.0
84969,12833,2025-05-14,0.0,12833.0
22623,6972,2025-05-24,0.0,6972.0
22622,393,2025-05-22,0.0,393.0
21754,3430,2025-05-15,0.0,3430.0
21755,7102,2025-05-19,0.0,7102.0
21777,6193,2025-05-16,0.0,6193.0
48187,17138,2025-04-29,0.0,17138.0
22960,5679,2025-05-27,0.0,5679.0
22913,18716,2025-05-10,0.0,18716.0
22912,16982,2025-05-25,0.0,16982.0
22914,5587,2025-04-30,0.0,5587.0
21756,5896,2025-05-22,0.0,5896.0
22728,3455,2025-05-10,0.0,3455.0
22727,8126,2025-05-21,0.0,8126.0
22726,10143,2025-05-26,0.0,10143.0
21724,16230,2025-05-21,0.0,16230.0
21883,634,2025-05-17,0.0,634.0
10002,13297,2025-05-28,0.0,13297.0
21791,12344,2025-05-05,0.0,12344.0
21035,17658,2025-05-01,0.0,17658.0
22326,12480,2025-05-26,0.0,12480.0
22629,1763,2025-05-04,0.0,1763.0
22659,19397,2025-04-29,0.0,19397.0
22631,7160,2025-05-08,0.0,7160.0
22661,14636,2025-05-03,0.0,14636.0
21731,2277,2025-05-18,0.0,2277.0
22900,17234,2025-05-18,0.0,17234.0
21913,4960,2025-05-01,0.0,4960.0
22540,14320,2025-05-27,0.0,14320.0
22544,12950,2025-05-12,0.0,12950.0
22492,9004,2025-05-07,0.0,9004.0
POST,7326,2025-05-11,0.0,7326.0
22086,7552,2025-05-19,0.0,7552.0
20679,13439,2025-05-14,0.0,13439.0
37370,19550,2025-05-24,0.0,19550.0
21871,12992,2025-05-21,0.0,12992.0
21071,10218,2025-05-11,0.0,10218.0
21068,6303,2025-05-14,0.0,6303.0
82483,1721,2025-05-16,0.0,1721.0
82486,16277,2025-05-27,0.0,16277.0
82482,1012,2025-05-13,0.0,1012.0
82494,6188,2025-05-11,0.0,6188.0
21258,15411,2025-04-29,0.0,15411.0
22114,18900,2025-04-29,0.0,18900.0
21733,8321,2025-05-04,0.0,8321.0
22386,13693,2025-05-24,0.0,13693.0
85099,5849,2025-05-13,0.0,5849.0
21033,15838,2025-05-23,0.0,15838.0
20723,7003,2025-05-14,0.0,7003.0
84997,11480,2025-05-27,0.0,11480.0
21094,15499,2025-05-26,0.0,15499.0
20725,7070,2025-05-09,0.0,7070.0
21559,16861,2025-04-30,0.0,16861.0
22352,1184,2025-05-13,0.0,1184.0
21212,16086,2025-05-07,0.0,16086.0
21975,16309,2025-05-07,0.0,16309.0
21977,14388,2025-05-01,0.0,14388.0
84991,1925,2025-05-22,0.0,1925.0
84519,15784,2025-05-11,0.0,15784.0
85183,2907,2025-05-13,0.0,2907.0
85071,14117,2025-05-10,0.0,14117.0
21931,10639,2025-05-03,0.0,10639.0
21929,10050,2025-05-12,0.0,10050.0
22961,16354,2025-05-13,0.0,16354.0
22139,15920,2025-05-08,0.0,15920.0
84854,10406,2025-05-12,0.0,10406.0
22411,15506,2025-05-11,0.0,15506.0
82567,9782,2025-05-14,0.0,9782.0
21672,8514,2025-05-14,0.0,8514.0
22774,15902,2025-05-28,0.0,15902.0
22771,1070,2025-05-26,0.0,1070.0
71270,5795,2025-05-15,0.0,5795.0
